,colony,treatment,week,date,exp_date,bees_sum_perweek,comb_sum_perweek,first_comb_frame,bees_percombcm2,combcm2_perbee,nframes_with_comb,avg_comb_perframe,initial_region,nestarea_seasontotal,prop_area_seasontotal,days_since_last_insp,nestheight,nestwidth,nestaspecthw,nestdepth,nestarea,nestareagrowth,nestcentX,nestcentY,nestcentZ,nestheightperc,nestwidthperc,nestdepthperc,nestareaperc,initialN,initialE,initialQ,initialQl,bees_sumgrowth,nframes_growth,Weight_Day_Mean,Weight_Gain,Temp_Day_Mean,Temp_Week_Mean,Temp_OO_Mean,Amb_Temp_Day_Mean,Amb_Temp_Day_Min,Amb_Temp_Day_Max,Amb_Temp_Day_Diff,Precip_Day_Ttl,Cloud_Cover_Mean,Wind_Mean,Nest_Amb_Diff,Nest_Amb_Diff_Mean,Nest_Amb_Diff_Min,Nest_Amb_Diff_Max,Gram_perBee
27,DD4,DD,1,20210412,8,4300.0,1300.0,10.0,0.0,0.0,5.0,260.0,3,7275.0,0.1786941580756013,8.0,19.554003139717427,31.191679748822608,0.979674428401616,5.0,1366.395305457046,1366.395305457046,292.6,101.8,8.701165181631254,0.958529565672423,0.7237048665620095,0.5,0.15540640842739709,0.0,1.0,3.0,SE,4300.0,5.0,5.845804988662133,3.8212396069538936,28.508666666666667,31.12176157896108,-4.910444444444442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3594895322470075
28,DD4,DD,2,20210419,15,4600.0,2225.0,10.0,0.0,0.0,6.0,370.8333333333333,3,7275.0,0.3058419243986254,7.0,19.689324960753535,37.281161695447416,0.6684534718740652,6.0,2429.2921796637993,1062.8968742067534,287.5,108.83333333333333,8.077665995975856,0.9651629882722321,0.8649921507064365,0.6,0.2762945475255675,0.0,1.0,3.0,SE,300.0,1.0,1.5001889644746793,-4.3456160241874535,34.39540229885055,31.12176157896108,-0.8232120051085564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3261280357553651
29,DD4,DD,3,20210426,22,4500.0,2775.0,10.0,0.0,0.0,6.0,462.5,3,7275.0,0.3814432989690721,7.0,19.554003139717427,39.24332810047096,0.567320799749637,6.0,2955.917695018595,526.6255153547957,286.3333333333333,117.33333333333333,7.853374443302501,0.958529565672423,0.9105180533751963,0.6,0.33619008405197615,0.0,1.0,3.0,SE,-100.0,0.0,2.659863945578232,1.1596749811035525,26.54282407407408,30.67104320843976,-6.81671296296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5910808767951625
30,DD4,DD,4,20210502,28,6300.0,3562.5,10.0,0.0,0.0,6.0,593.75,3,7275.0,0.4896907216494845,6.0,19.75698587127159,43.03233908948195,0.4994271649684192,6.0,3677.652941747646,721.7352467290509,287.0,124.66666666666667,7.799402092675635,0.9684796995721368,0.9984301412872842,0.6,0.4182763456789552,0.0,1.0,3.0,SE,1800.0,0.0,3.368669690098262,0.70880574452003,33.96384071933203,32.74116002896187,-0.5490751445086701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5347094746187717
31,DD4,DD,5,20210508,34,7900.0,4615.0,10.0,0.0,0.0,8.0,576.875,3,7275.0,0.6343642611683848,6.0,19.75698587127159,43.1,0.6773956510101831,8.0,4741.712627652681,1064.0596859050345,284.875,116.25,7.276202219482121,0.9684796995721368,1.0,0.8,0.5392967366876713,0.0,1.0,3.0,SE,1600.0,2.0,4.545540438397581,1.1768707482993195,27.299768518518523,32.44850129686953,-6.030231481481479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575384865619947
32,DD4,DD,6,20210517,43,7100.0,5787.5,10.0,0.0,0.0,8.0,723.4375,3,7275.0,0.7955326460481099,9.0,19.959968602825747,43.1,0.4774217423704694,8.0,5953.399041252537,1211.6864135998567,304.625,138.125,6.672930002064835,0.9784298334718504,1.0,0.8,0.6771073928907394,0.0,1.0,3.0,SE,-800.0,0.0,4.8131141345427055,0.2675736961451243,34.411993464052266,34.382092771267935,-0.3902483660130713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677903399231367
33,DD4,DD,7,20210524,50,8700.0,6012.5,10.0,0.0,0.0,9.0,668.0555555555555,3,7275.0,0.8264604810996563,7.0,20.0276295133438,43.1,0.5386639599488856,9.0,6150.545982098191,205.89091857682604,295.55555555555554,130.88888888888889,6.4956538917423945,0.981746544771755,1.0,0.9,0.6995298191731714,0.0,1.0,3.0,SE,1600.0,1.0,4.64493575207861,-0.16817838246409522,35.90605095541406,35.067579240877485,0.2530785562632711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533900661158461
34,DD4,DD,8,20210531,57,8800.0,6212.5,10.0,0.0,0.0,9.0,690.2777777777778,3,7275.0,0.8539518900343642,7.0,19.959968602825747,43.1,0.5023158350007785,9.0,6341.695744499952,209.9424475255626,300.22222222222223,133.22222222222223,6.354524627720504,0.9784298334718504,1.0,0.9,0.7212701588303481,0.0,1.0,3.0,SE,100.0,0.0,4.985449735449736,0.3405139833711255,34.71018518518519,33.92418874005907,-0.3560472541507012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5665283790283792
35,DD4,DD,9,20210608,65,9300.0,7125.0,10.0,200.0,0.005,10.0,712.5,3,7275.0,0.979381443298969,8.0,20.365934065934066,43.1,0.654116666233896,10.0,7163.23136533348,822.2223206553481,302.0,138.7,6.025383395029085,0.9983301012712779,1.0,1.0,0.814707174984473,0.0,1.0,3.0,SE,500.0,1.0,6.210506424792139,1.225056689342403,35.56838913148956,34.907831971230486,0.0116351285783614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6677963897625956
36,DD4,DD,10,20210615,72,11500.0,7275.0,10.0,80.0,0.0125,10.0,727.5,3,7275.0,1.0,7.0,20.230612244897962,43.1,0.5588276376372502,11.0,7361.092473993826,200.35154001414648,347.2,94.25,5.880622541474261,0.9916966786714688,1.0,1.0,0.8372108268497597,0.0,1.0,3.0,SE,2200.0,0.0,6.020408163265306,-0.19009826152683296,34.40061014771997,34.907831971230486,-0.180378933847141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5235137533274179
